"調査年月日","都道府県名","市区町村名","市町村コード","行政区コード","行政区名","0－4歳","5－9歳","10－14歳","15－19歳","20－24歳","25－29歳","30－34歳","35－39歳","40－44歳","45－49歳","50－54歳","55－59歳","60－64歳","65－69歳","70－74歳","75－79歳","80－84歳","85－89歳","90－94歳","95－99歳","100歳以上","計","世帯数"
"2019/04/01","京都府","舞鶴市","262021","405","大門ビルセンター","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019/04/01","京都府","舞鶴市","262021","406","大門西","0","0","1","2","1","0","1","1","4","0","3","3","4","5","5","4","4","3","3","1","0","45","26"
"2019/04/01","京都府","舞鶴市","262021","407","中浜一","4","2","1","4","0","1","7","3","3","2","7","4","2","5","5","11","8","3","3","1","0","76","44"
"2019/04/01","京都府","舞鶴市","262021","408","中浜二","1","1","2","2","0","0","3","3","4","4","0","6","2","11","8","3","2","2","4","2","0","60","36"
"2019/04/01","京都府","舞鶴市","262021","409","中浜三","5","4","4","1","6","4","5","2","3","8","7","7","13","5","9","4","8","4","1","0","0","100","44"
"2019/04/01","京都府","舞鶴市","262021","410","中浜四","0","4","5","2","7","3","1","5","5","9","2","4","8","8","13","10","3","8","4","1","0","102","58"
"2019/04/01","京都府","舞鶴市","262021","411","中浜五","0","7","2","3","2","3","3","8","7","10","4","3","5","5","6","4","2","5","2","0","0","81","46"
"2019/04/01","京都府","舞鶴市","262021","412","西敷島","1","2","2","4","3","1","3","4","3","7","4","7","5","14","9","8","3","9","1","1","2","93","49"
"2019/04/01","京都府","舞鶴市","262021","413","中敷島","2","4","1","1","0","1","1","4","4","7","2","0","3","5","6","5","7","1","2","0","0","56","33"
"2019/04/01","京都府","舞鶴市","262021","414","敷島","3","2","2","2","1","4","1","2","7","7","2","0","3","3","8","7","7","0","1","0","0","62","30"
"2019/04/01","京都府","舞鶴市","262021","415","東敷島","3","2","1","2","4","6","2","3","8","1","7","9","10","10","6","10","10","7","4","0","1","106","63"
"2019/04/01","京都府","舞鶴市","262021","416","三条上","1","1","2","3","3","2","3","2","4","6","7","9","7","8","3","9","4","7","2","0","0","83","42"
"2019/04/01","京都府","舞鶴市","262021","417","三条下","2","2","0","0","1","1","0","6","0","3","1","4","3","8","6","3","0","3","0","0","0","43","22"
"2019/04/01","京都府","舞鶴市","262021","418","西浜北","6","6","4","9","1","7","9","7","14","13","10","7","13","7","13","3","11","10","5","3","0","158","81"
"2019/04/01","京都府","舞鶴市","262021","419","西浜南","1","2","5","7","4","4","10","3","3","12","7","6","9","6","8","12","8","5","1","0","0","113","65"
"2019/04/01","京都府","舞鶴市","262021","420","三笠","6","12","13","6","5","8","7","7","16","12","9","6","6","15","27","18","14","5","5","0","1","198","93"
"2019/04/01","京都府","舞鶴市","262021","421","桃山","7","5","12","11","7","7","9","10","12","12","16","15","6","10","8","15","20","15","5","1","0","203","103"
"2019/04/01","京都府","舞鶴市","262021","422","元浜西","2","3","0","4","3","0","3","4","2","7","5","2","3","6","1","4","6","2","1","1","0","59","28"
"2019/04/01","京都府","舞鶴市","262021","423","元浜","5","3","5","3","5","13","2","8","3","6","4","5","9","5","7","6","10","5","1","1","0","106","50"
"2019/04/01","京都府","舞鶴市","262021","424","浜","4","5","2","6","5","4","3","6","5","5","4","6","7","11","8","8","3","5","7","1","1","106","54"
"2019/04/01","京都府","舞鶴市","262021","425","東浜","5","3","4","5","2","6","4","4","4","10","9","13","4","9","10","5","12","6","3","3","0","121","63"
"2019/04/01","京都府","舞鶴市","262021","427","双葉寮","0","7","18","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","39"
"2019/04/01","京都府","舞鶴市","262021","428","療育センター","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019/04/01","京都府","舞鶴市","262021","429","共済病院","2","0","0","2","7","3","3","5","2","0","4","0","0","0","0","0","0","0","0","0","0","28","16"
"2019/04/01","京都府","舞鶴市","262021","430","クレインズタワー","3","4","7","8","3","3","5","3","10","18","11","17","5","10","4","3","4","3","0","0","0","121","66"
"2019/04/01","京都府","舞鶴市","262021","431","ポレスター東","3","20","27","16","3","1","3","7","25","32","10","12","5","6","10","7","0","1","0","0","0","188","67"
"2019/04/01","京都府","舞鶴市","262021","501","西浮島","5","4","4","7","11","8","5","6","6","10","8","16","12","23","20","18","7","5","3","1","1","180","94"
"2019/04/01","京都府","舞鶴市","262021","502","宮浮島","3","3","7","3","6","2","5","10","15","7","10","9","10","16","17","14","6","6","5","0","0","154","85"
"2019/04/01","京都府","舞鶴市","262021","503","南浮島","3","6","5","3","1","4","1","5","7","8","6","3","1","6","21","3","2","3","2","2","0","92","42"
"2019/04/01","京都府","舞鶴市","262021","504","中浮島","31","35","28","13","9","8","20","43","48","48","39","21","19","10","18","12","10","9","6","0","0","427","197"
"2019/04/01","京都府","舞鶴市","262021","505","北浮島","7","3","3","5","11","9","6","4","13","7","7","9","8","13","13","9","6","6","1","0","0","140","73"
"2019/04/01","京都府","舞鶴市","262021","506","東浮島","2","6","4","15","7","6","6","6","20","16","8","14","5","13","20","16","16","3","5","1","1","190","98"
"2019/04/01","京都府","舞鶴市","262021","507","舞鶴学園","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019/04/01","京都府","舞鶴市","262021","601","矢之助東","20","16","18","16","10","17","25","23","31","22","24","19","26","32","42","29","28","22","14","5","1","440","219"
"2019/04/01","京都府","舞鶴市","262021","602","矢之助西","16","21","13","19","21","14","9","30","26","26","25","30","25","29","30","26","16","11","8","4","0","399","180"
"2019/04/01","京都府","舞鶴市","262021","603","溝尻中町","24","30","16","26","21","24","33","19","40","34","39","26","30","29","41","36","23","15","11","4","0","521","247"
"2019/04/01","京都府","舞鶴市","262021","604","溝尻中町南","8","9","14","23","18","5","6","17","29","22","14","18","32","26","31","32","23","16","3","2","0","348","173"
"2019/04/01","京都府","舞鶴市","262021","605","溝尻","50","47","63","57","48","39","52","60","79","86","47","57","36","51","70","38","33","20","9","2","1","945","386"
"2019/04/01","京都府","舞鶴市","262021","606","堂奥","13","23","11","23","15","15","11","11","21","23","21","10","11","21","18","22","12","11","4","2","1","299","119"
"2019/04/01","京都府","舞鶴市","262021","607","多門院","6","9","10","5","4","3","9","12","5","12","6","11","15","19","15","9","10","7","4","2","0","173","75"
"2019/04/01","京都府","舞鶴市","262021","608","溝尻田口","0","8","5","11","6","2","1","5","13","14","11","7","10","13","22","28","15","5","4","2","0","182","96"
"2019/04/01","京都府","舞鶴市","262021","609","溝尻新町","35","32","39","50","26","45","25","37","44","67","49","56","41","62","63","66","54","22","12","2","0","827","403"
"2019/04/01","京都府","舞鶴市","262021","701","市場西","5","8","2","5","3","0","5","9","9","18","8","7","12","18","21","11","10","13","8","1","0","173","94"
"2019/04/01","京都府","舞鶴市","262021","702","市場東","1","1","2","4","10","3","5","6","12","9","7","13","11","18","21","16","15","8","6","5","1","174","97"
"2019/04/01","京都府","舞鶴市","262021","703","十月会","0","0","0","0","0","0","0","0","0","1","0","1","0","1","3","3","2","0","2","0","0","13","9"
"2019/04/01","京都府","舞鶴市","262021","704","公明会","0","0","0","0","0","0","0","1","0","0","0","1","0","1","2","0","0","1","0","0","0","6","6"
"2019/04/01","京都府","舞鶴市","262021","705","市場上","2","14","13","11","6","3","6","14","6","11","11","10","11","10","5","2","6","3","3","0","0","147","75"
"2019/04/01","京都府","舞鶴市","262021","706","竜宮","30","35","27","23","22","20","37","45","50","39","25","29","36","28","26","24","19","12","7","0","0","534","258"
"2019/04/01","京都府","舞鶴市","262021","708","松ヶ崎A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019/04/01","京都府","舞鶴市","262021","709","松ヶ崎","60","36","24","14","12","45","54","53","47","39","27","7","1","0","1","1","0","0","0","0","0","421","201"
"2019/04/01","京都府","舞鶴市","262021","710","地区病院","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019/04/01","京都府","舞鶴市","262021","711","愛宕中町","23","30","24","27","19","27","25","32","27","22","15","25","11","14","16","17","16","14","6","1","0","391","177"
"2019/04/01","京都府","舞鶴市","262021","712","高屋","21","16","19","22","23","23","27","34","25","31","31","31","26","22","27","23","19","6","7","4","1","438","191"
"2019/04/01","京都府","舞鶴市","262021","713","上垣","1","1","2","4","1","5","2","2","3","5","3","5","8","6","10","5","2","2","1","0","0","68","32"
"2019/04/01","京都府","舞鶴市","262021","714","愛宕新","23","25","16","27","24","26","31","19","38","40","35","29","23","33","43","33","34","30","14","1","0","544","257"
"2019/04/01","京都府","舞鶴市","262021","715","月ヶ浦","0","0","0","0","1","2","2","0","1","1","1","0","2","0","0","1","0","0","1","0","0","12","6"
